capacity_share,capacity_by_avg,freq_week,duration,conv_departure,conv_arrival,day_week_1,day_week_3,day_week_6,day_week_2,day_week_4,day_week_5,month_year_2,month_year_3,month_year_4,month_year_5,month_year_6,month_year_10,month_year_11,month_year_12,month_year_7,month_year_8,month_year_9,is_festive,season_2,season_3,season_4,static_pred,train_bk_type_1,book_first2_rate,canc_first2_rate,avg_book_first2_rate,avg_canc_first2_rate,book_rate,canc_rate,avg_book_rate,avg_canc_rate,bulk_book_rate,bulk_canc_rate,avg_bulk_book_rate,avg_bulk_canc_rate,avg_k_cnf,avg_k_rac,avg_book_rate_k,avg_canc_rate_k,avg_book_first2_rate_k,avg_canc_first2_rate_k,avg_bulk_book_rate_k,avg_bulk_canc_rate_k,avg_gnwl_ratio_k,avg_cwl_ratio_k,gnwl_ratio,avg_gnwl_ratio,cwl_ratio,avg_cwl_ratio,target_k_rac
0.17731277533039647,0.766119687646191,1.0,1.0569410815173528,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0547945205479452,0,1,0,0.1829493555671001,0,0.2919254658385093,0.023529411764705882,0.5334502868522119,0.030662009020840368,1.0559006211180124,0.023529411764705882,0.8988075482433264,0.04454033027078197,1.0559006211180124,0.023529411764705882,0.7171779431985206,0.04337782121294653,0.8332095006090134,0.9281973203410476,1.0999765977627225,0.06876947340883084,0.4044697114037541,0.0422958670625317,1.016345394260742,0.06019374440131053,0.024118717797301976,-0.03349081458502938,0.052941176470588235,-0.15775819728102305,0.030120481927710843,-0.1936838493216212,1.0
0.2093628088426528,0.7941540619806893,1.0,0.9873912465962676,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.046575342465753435,0,1,0,0.1909675959988706,0,1.105590062111801,0.011235955056179777,0.5334502868522119,0.030662009020840368,1.105590062111801,0.011235955056179777,0.8988075482433264,0.04454033027078197,1.105590062111801,0.011235955056179777,0.7171779431985206,0.04337782121294653,0.8332095006090134,0.9281973203410476,1.0999765977627225,0.06876947340883084,0.4044697114037541,0.0422958670625317,1.016345394260742,0.06019374440131053,0.024118717797301976,-0.03349081458502938,0.09550561797752807,-0.15775819728102305,0.08522727272727272,-0.1936838493216212,0.93
0.31021194605009633,0.9421575772939972,1.0,0.9873912465962676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.04383561643835617,0,1,0,0.19318920174247745,0,0.5527950310559007,0.03954802259887006,0.5334502868522119,0.030662009020840368,1.0993788819875776,0.03954802259887006,0.8988075482433264,0.04454033027078197,1.0993788819875776,0.03954802259887006,0.7171779431985206,0.04337782121294653,0.8332095006090134,0.9281973203410476,1.0999765977627225,0.06876947340883084,0.4044697114037541,0.0422958670625317,1.016345394260742,0.06019374440131053,0.024118717797301976,-0.03349081458502938,0.0903954802259887,-0.15775819728102305,0.052941176470588235,-0.1936838493216212,1.0
0.5062893081761006,1.0127388535031847,1.0,0.9964285714285714,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0410958904109589,0,1,0,0.1951724780727992,0,0.3726708074534161,0.04395604395604396,0.5334502868522119,0.030662009020840368,1.1304347826086956,0.04395604395604396,0.8988075482433264,0.04454033027078197,1.1304347826086956,0.04395604395604396,0.7171779431985206,0.04337782121294653,0.8332095006090134,0.9281973203410476,1.0999765977627225,0.06876947340883084,0.4044697114037541,0.0422958670625317,1.016345394260742,0.06019374440131053,0.024118717797301976,-0.03349081458502938,0.1153846153846154,-0.15775819728102305,0.07471264367816093,-0.1936838493216212,1.0
0.31021194605009633,0.9421575772939972,1.0,0.9873912465962676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0136986301369863,0,1,0,0.2585857029197832,0,0.11180124223602483,0.05154639175257732,0.5334502868522119,0.030662009020840368,1.2049689440993792,0.061855670103092786,0.8988075482433264,0.04454033027078197,1.2049689440993792,0.061855670103092786,0.7171779431985206,0.04337782121294653,0.8332095006090134,0.9281973203410476,1.0999765977627225,0.06876947340883084,0.4044697114037541,0.0422958670625317,1.016345394260742,0.06019374440131053,0.024118717797301976,-0.03349081458502938,0.17010309278350516,-0.15775819728102305,0.1153846153846154,-0.1936838493216212,1.0
0.17731277533039647,0.766119687646191,1.0,1.0569410815173528,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0410958904109589,0,1,0,0.18326229481852832,0,0.16770186335403728,0.05555555555555555,0.5334502868522119,0.030662009020840368,1.0062111801242235,0.05555555555555555,0.8988075482433264,0.04454033027078197,1.0062111801242235,0.05555555555555555,0.7171779431985206,0.04337782121294653,0.8332095006090134,0.9281973203410476,1.0999765977627225,0.06876947340883084,0.4044697114037541,0.0422958670625317,1.016345394260742,0.06019374440131053,0.024118717797301976,-0.03349081458502938,0.006172839506172839,-0.15775819728102305,-0.049689440993788817,-0.1936838493216212,1.0
0.2093628088426528,0.7941540619806893,1.0,0.9873912465962676,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.04383561643835617,0,1,0,0.18447623723382045,0,0.484472049689441,0.07608695652173914,0.5334502868522119,0.030662009020840368,1.1428571428571428,0.07608695652173914,0.8988075482433264,0.04454033027078197,1.1428571428571428,0.07608695652173914,0.7171779431985206,0.04337782121294653,0.8332095006090134,0.9281973203410476,1.0999765977627225,0.06876947340883084,0.4044697114037541,0.0422958670625317,1.016345394260742,0.06019374440131053,0.024118717797301976,-0.03349081458502938,0.125,-0.15775819728102305,0.052941176470588235,-0.1936838493216212,0.9
0.31021194605009633,0.9421575772939972,1.0,0.9873912465962676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052054794520547946,0,1,0,0.190014041828208,0,0.2670807453416149,0.0,0.5334502868522119,0.030662009020840368,0.4658385093167702,0.0,0.8988075482433264,0.04454033027078197,0.4658385093167702,0.0,0.7171779431985206,0.04337782121294653,0.8332095006090134,0.9281973203410476,1.0999765977627225,0.06876947340883084,0.4044697114037541,0.0422958670625317,1.016345394260742,0.06019374440131053,0.024118717797301976,-0.03349081458502938,-0.5341614906832298,-0.15775819728102305,-0.5341614906832298,-0.1936838493216212,1.0
0.5062893081761006,1.0127388535031847,1.0,0.9964285714285714,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0547945205479452,0,1,0,0.19181275928755206,0,0.09937888198757763,0.0,0.5334502868522119,0.030662009020840368,0.2670807453416149,0.0,0.8988075482433264,0.04454033027078197,0.2670807453416149,0.0,0.7171779431985206,0.04337782121294653,0.8332095006090134,0.9281973203410476,1.0999765977627225,0.06876947340883084,0.4044697114037541,0.0422958670625317,1.016345394260742,0.06019374440131053,0.024118717797301976,-0.03349081458502938,-0.7329192546583851,-0.15775819728102305,-0.7329192546583851,-0.1936838493216212,1.0
0.2093628088426528,0.7941540619806893,1.0,0.9873912465962676,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.06301369863013699,0,0,1,0.1942034158497422,0,0.4658385093167702,0.059782608695652176,0.5334502868522119,0.030662009020840368,1.1428571428571428,0.059782608695652176,0.8988075482433264,0.04454033027078197,1.0062111801242235,0.059782608695652176,0.7171779431985206,0.04337782121294653,0.8332095006090134,0.9281973203410476,1.0999765977627225,0.06876947340883084,0.4044697114037541,0.0422958670625317,1.016345394260742,0.06019374440131053,0.024118717797301976,-0.03349081458502938,0.125,-0.15775819728102305,0.06936416184971098,-0.1936838493216212,1.0
