Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
29-Aug-2012,5343.85,5345.5,5282.7,5287.8,157470632,4581.21
30-Aug-2012,5268.6,5342.8,5255.05,5315.05,226494000,8374.69
31-Aug-2012,5298.2,5303.25,5238.9,5258.5,167393902,6600.58
03-Sep-2012,5276.5,5295.8,5243.15,5253.75,110380869,4015.55
04-Sep-2012,5249.15,5278.35,5233.2,5274,106316880,3726.52
05-Sep-2012,5243.9,5259.5,5215.7,5225.7,126162071,4904.68
06-Sep-2012,5217.65,5260.6,5217.65,5238.4,134008569,4622.16
07-Sep-2012,5309.45,5347.15,5309.2,5342.1,149584722,5590.04
08-Sep-2012,5343.65,5366.3,5343.45,5358.7,11221064,376.34
10-Sep-2012,5361.9,5375.45,5349.1,5363.45,109607506,4183.01
11-Sep-2012,5336.1,5393.35,5332.1,5390,112878090,4081.42
12-Sep-2012,5404.45,5435.55,5393.95,5431,139920871,4885.71
13-Sep-2012,5435.2,5447.45,5421.85,5435.35,110774177,4199.37
14-Sep-2012,5528.35,5586.65,5526.95,5577.65,233783031,9263.53
17-Sep-2012,5631.75,5652.2,5585.15,5610,258912780,10924.57
18-Sep-2012,5602.4,5620.55,5586.45,5600.05,175488961,7272.63
20-Sep-2012,5536.95,5581.35,5534.9,5554.25,165684942,6768.88
21-Sep-2012,5577,5720,5575.45,5691.15,278023825,11101.32
24-Sep-2012,5691.95,5709.85,5662.75,5669.6,210419441,8380.56
25-Sep-2012,5674.9,5702.7,5652.45,5673.9,341387116,12551.6
26-Sep-2012,5653.4,5672.8,5638.65,5663.45,170771069,6754.98
27-Sep-2012,5673.75,5693.7,5639.7,5649.5,238991690,9368.11
28-Sep-2012,5684.8,5735.15,5683.45,5703.3,163660805,6948.17
01-Oct-2012,5704.75,5722.95,5694,5718.8,123138510,4798.17
03-Oct-2012,5727.7,5743.25,5715.8,5731.25,165037864,6654.02
04-Oct-2012,5751.55,5807.25,5751.35,5787.6,171404290,6954.74
05-Oct-2012,5815,5815.35,4888.2,5746.95,255569804,12995.8
08-Oct-2012,5751.85,5751.85,5666.2,5676,142319000,5853.56
09-Oct-2012,5708.15,5728.65,5677.9,5704.6,119300415,5047.01
10-Oct-2012,5671.15,5686.5,5647.05,5652.15,126294361,4564.39
11-Oct-2012,5663.5,5721.1,5636.95,5708.05,148283847,6542.71
12-Oct-2012,5681.7,5725,5659.35,5676.05,130076802,6475.3
15-Oct-2012,5674.25,5693.7,5651.05,5687.25,93693482,3962.97
16-Oct-2012,5705.6,5714,5635.6,5648,117415701,5043.3
17-Oct-2012,5681.1,5684.35,5633.9,5660.25,123974371,5259.46
18-Oct-2012,5675.3,5722.5,5650.55,5718.7,144097860,6264.78
19-Oct-2012,5703.3,5711.7,5660,5684.25,124262817,5410.95
22-Oct-2012,5667.6,5721.55,5658.05,5717.15,103372318,4994.75
23-Oct-2012,5715.65,5720.8,5681.45,5691.4,81501427,3803.5
25-Oct-2012,5688.8,5718.75,5685.7,5705.3,158343061,7359.34
26-Oct-2012,5683.55,5697.2,5641.75,5664.3,101663820,4718.97
29-Oct-2012,5665.2,5698.3,5645.1,5665.6,93555816,3953.86
30-Oct-2012,5656.35,5689.9,5589.9,5597.9,116678775,5550.86
31-Oct-2012,5596.75,5624.4,5583.05,5619.7,112075316,4918.55
01-Nov-2012,5609.85,5649.75,5601.95,5645.05,107393402,4633.11
02-Nov-2012,5696.35,5711.3,5682.55,5697.7,111162841,4924.33
05-Nov-2012,5693.05,5709.2,5679.5,5704.2,74829213,3236.08
06-Nov-2012,5694.1,5730.8,5693.65,5724.4,115018796,4677.92
07-Nov-2012,5718.6,5777.3,5711.4,5760.1,133740615,5242.18
08-Nov-2012,5709,5744.5,5693.95,5738.75,117590261,4883.9
09-Nov-2012,5731.1,5751.7,5677.75,5686.25,98763127,4833.64
12-Nov-2012,5688.45,5718.9,5665.75,5683.7,92702799,4082.62
13-Nov-2012,5689.7,5698.25,5660.35,5666.95,16516842,680.72
15-Nov-2012,5650.35,5651.65,5603.55,5631,133979470,5554.05
16-Nov-2012,5624.8,5650.15,5559.8,5574.05,121900570,4996.15
19-Nov-2012,5577.3,5592.75,5549.25,5571.4,106988015,4336.84
20-Nov-2012,5604.8,5613.7,5548.35,5571.55,107481297,4399.93
21-Nov-2012,5582.5,5620.2,5561.4,5614.8,105148728,4228.47
22-Nov-2012,5628.6,5643.35,5608,5627.75,94058612,3867.76
23-Nov-2012,5635.45,5637.75,5593.55,5626.6,85082220,3213.06
26-Nov-2012,5648.65,5649.2,5623.45,5635.9,79291426,3246.23
27-Nov-2012,5658.5,5733.2,5658,5727.45,134407735,5380.95
29-Nov-2012,5736.7,5833.5,5736.1,5825,207295475,9110.93
30-Nov-2012,5836,5885.25,5827.85,5879.85,257047977,10777.34
03-Dec-2012,5878.25,5899.15,5854.6,5870.95,113423350,4726.68
04-Dec-2012,5866.8,5894.95,5859,5889.25,131020191,4816.7
05-Dec-2012,5906.6,5917.8,5891.35,5900.5,139653957,5583.78
06-Dec-2012,5926.3,5942.55,5838.9,5930.9,140267080,5667.65
07-Dec-2012,5934,5949.85,5888.65,5907.4,127607078,5722.45
