"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"30-Aug-1999","     1417.80","     1435.50","     1417.80","     1422.60","       46989716","         1407.53"
"31-Aug-1999","     1422.65","     1424.05","     1409.55","     1412.00","       38972160","         1153.01"
"01-Sep-1999","     1412.05","     1430.80","     1397.70","     1410.70","       43993413","         1396.77"
"02-Sep-1999","     1410.00","     1410.00","     1372.50","     1375.85","       32966516","         1017.32"
"03-Sep-1999","     1375.70","     1384.25","     1370.95","     1374.95","       31511260","         1015.37"
"06-Sep-1999","     1375.45","     1392.05","     1372.50","     1390.20","       30638177","          962.64"
"07-Sep-1999","     1391.20","     1403.75","     1378.95","     1383.25","       40411200","         1205.32"
"08-Sep-1999","     1385.55","     1413.45","     1385.55","     1399.50","       43965745","         1387.43"
"09-Sep-1999","     1400.15","     1402.25","     1388.65","     1396.90","       41088137","         1225.48"
"10-Sep-1999","     1397.15","     1398.60","     1388.85","     1391.10","       40904408","         1071.07"
"14-Sep-1999","     1391.90","     1397.45","     1366.25","     1370.55","       43755495","         1460.52"
"15-Sep-1999","     1371.00","     1392.35","     1371.00","     1374.70","       35088892","         1247.14"
"16-Sep-1999","     1374.45","     1375.35","     1347.30","     1351.20","       31300438","          982.12"
"17-Sep-1999","     1350.35","     1364.05","     1329.70","     1359.70","       34644812","         1316.43"
"20-Sep-1999","     1359.80","     1379.05","     1356.30","     1357.85","       30797034","         1131.31"
"21-Sep-1999","     1358.45","     1367.75","     1348.60","     1350.60","       36609865","         1386.43"
"22-Sep-1999","     1350.70","     1400.00","     1350.70","     1386.45","       34759245","         1590.61"
"23-Sep-1999","     1387.95","     1403.55","     1387.45","     1398.00","       40007163","         1765.16"
"24-Sep-1999","     1397.45","     1427.75","     1396.75","     1412.25","       53623795","         1738.43"
"27-Sep-1999","     1413.80","     1427.15","     1387.05","     1389.50","       46403334","         1898.68"
"28-Sep-1999","     1389.25","     1389.45","     1363.45","     1379.15","       55042402","         1774.81"
"29-Sep-1999","     1380.70","     1429.05","     1380.30","     1415.30","       58492479","         2001.35"
"30-Sep-1999","     1415.55","     1432.55","     1409.55","     1413.10","       57209189","         1898.11"
"01-Oct-1999","     1414.65","     1419.10","     1389.05","     1403.20","       49444898","         1817.82"
"04-Oct-1999","     1403.45","     1406.35","     1367.85","     1372.30","       39013018","         1204.15"
"05-Oct-1999","     1372.40","     1384.35","     1358.95","     1378.15","       46223533","         1776.48"
"06-Oct-1999","     1377.65","     1419.75","     1377.15","     1392.70","       57096325","         1820.82"
"07-Oct-1999","     1394.35","     1475.45","     1394.35","     1469.75","       62423583","         2457.10"
"08-Oct-1999","     1470.00","     1502.65","     1462.75","     1479.25","       55103382","         2332.11"
"11-Oct-1999","     1480.80","     1504.55","     1479.10","     1484.00","       50443446","         2015.26"
"12-Oct-1999","     1484.40","     1493.15","     1472.35","     1483.85","       55862923","         2185.08"
"13-Oct-1999","     1485.45","     1510.50","     1466.00","     1496.30","       61674546","         2635.79"
"14-Oct-1999","     1497.30","     1522.85","     1496.65","     1505.20","       40798761","         1882.04"
"15-Oct-1999","     1505.70","     1512.00","     1448.95","     1454.55","       33570666","         1505.78"
"18-Oct-1999","     1454.90","     1461.45","     1426.15","     1444.05","       48449171","         2014.43"
"20-Oct-1999","     1446.20","     1498.70","     1446.20","     1477.65","       56371669","         2231.16"
"21-Oct-1999","     1478.00","     1496.45","     1448.35","     1453.35","       57106864","         2018.83"
"22-Oct-1999","     1452.60","     1452.60","     1421.40","     1430.25","       47318625","         1743.34"
"23-Oct-1999","     1430.75","     1451.85","     1429.10","     1449.80","       13421359","          414.05"
"25-Oct-1999","     1449.85","     1457.20","     1410.85","     1426.20","       50227435","         1744.55"
"26-Oct-1999","     1426.60","     1431.50","     1410.95","     1414.35","       43549612","         1830.62"
"27-Oct-1999","     1419.10","     1440.70","     1400.75","     1411.40","       46640392","         1732.50"
"28-Oct-1999","     1411.20","     1411.45","     1361.05","     1367.70","       38435832","         1511.24"
"29-Oct-1999","     1367.90","     1370.80","     1296.70","     1325.45","       54898848","         2077.62"
"01-Nov-1999","     1325.90","     1332.70","     1260.80","     1270.00","       42509452","         1495.38"
"02-Nov-1999","     1269.30","     1335.60","     1239.80","     1332.20","       49344614","         1674.17"
"03-Nov-1999","     1332.70","     1353.55","     1303.25","     1326.40","       51551841","         1914.47"
"04-Nov-1999","     1326.85","     1339.75","     1313.60","     1336.80","       36095298","         1733.76"
"05-Nov-1999","     1336.75","     1369.65","     1336.55","     1364.55","       42069165","         1924.03"
"07-Nov-1999","     1364.70","     1382.25","     1364.70","     1369.60","       14703133","          616.51"
"09-Nov-1999","     1370.50","     1374.80","     1345.25","     1371.20","       36465784","         1677.06"
"10-Nov-1999","     1371.60","     1392.55","     1371.60","     1389.10","       28087976","         1462.51"
"11-Nov-1999","     1389.20","     1402.70","     1382.30","     1389.60","       36513793","         2019.11"
"12-Nov-1999","     1389.25","     1389.40","     1368.85","     1373.55","       24594677","         1345.09"
"15-Nov-1999","     1372.75","     1381.10","     1358.15","     1362.70","       21003729","         1020.13"
"16-Nov-1999","     1362.30","     1362.30","     1351.40","     1357.75","       24934776","         1103.24"
"17-Nov-1999","     1367.65","     1381.50","     1352.25","     1352.25","       28939420","         1289.97"
"18-Nov-1999","     1353.40","     1366.25","     1342.25","     1364.25","       24289422","         1283.65"
"19-Nov-1999","     1365.25","     1381.05","     1360.05","     1361.85","       25393385","         1138.13"
"22-Nov-1999","     1362.40","     1378.10","     1358.20","     1375.25","       30071822","         1383.15"
"24-Nov-1999","     1376.50","     1404.05","     1376.50","     1394.95","       41974204","         2161.16"
"25-Nov-1999","     1395.85","     1417.65","     1395.85","     1408.65","       36846097","         2016.13"
"26-Nov-1999","     1409.35","     1418.15","     1395.50","     1399.60","       34638373","         1863.91"
"29-Nov-1999","     1399.80","     1401.25","     1382.20","     1384.65","       29331668","         1677.42"
"30-Nov-1999","     1384.90","     1386.75","     1370.55","     1376.15","       31627112","         1716.86"
"01-Dec-1999","     1375.05","     1401.10","     1374.70","     1388.75","       30994153","         2188.39"
"02-Dec-1999","     1388.20","     1420.70","     1387.20","     1408.85","       35590582","         2027.88"
"03-Dec-1999","     1409.05","     1436.65","     1409.05","     1418.00","       41864176","         1981.06"
"06-Dec-1999","     1418.30","     1445.60","     1418.30","     1442.85","       36327200","         1875.52"
"07-Dec-1999","     1443.20","     1455.40","     1439.65","     1445.15","       40659301","         2020.66"
"08-Dec-1999","     1451.10","     1486.15","     1420.95","     1438.65","       55489809","         2424.00"
"09-Dec-1999","     1437.10","     1451.50","     1428.05","     1447.55","       28324031","         1655.32"
"10-Dec-1999","     1448.05","     1462.60","     1437.00","     1439.70","       30857013","         1490.87"
"13-Dec-1999","     1440.20","     1444.95","     1421.85","     1427.65","       25627987","         1561.08"
"14-Dec-1999","     1427.90","     1431.25","     1391.10","     1398.25","       36426032","         1780.75"
"15-Dec-1999","     1396.60","     1410.80","     1376.75","     1401.40","       27406330","         1419.24"
"16-Dec-1999","     1404.05","     1428.50","     1402.75","     1419.70","       23552094","         1621.01"
"17-Dec-1999","     1420.10","     1439.25","     1414.15","     1419.30","       29845835","         1539.24"
"20-Dec-1999","     1419.45","     1435.55","     1418.75","     1422.45","       31078939","         1300.86"
"21-Dec-1999","     1422.60","     1437.60","     1413.85","     1421.70","       30195486","         1374.84"
"22-Dec-1999","     1429.15","     1486.90","     1429.15","     1481.70","       44342451","         1533.24"
"23-Dec-1999","     1481.60","     1510.85","     1481.60","     1488.35","       17185124","          762.07"
"24-Dec-1999","     1488.05","     1489.90","     1453.35","     1459.00","       25668024","         1124.56"
"27-Dec-1999","     1459.65","     1460.50","     1427.70","     1432.10","       21846872","         1066.84"
"28-Dec-1999","     1427.45","     1451.35","     1418.85","     1442.20","       28571075","         1398.02"
"29-Dec-1999","     1443.90","     1483.40","     1443.90","     1476.35","       19747988","         1499.07"
"30-Dec-1999","     1489.20","     1504.95","     1476.75","     1480.45","       14707482","          911.02"
"03-Jan-2000","     1482.15","     1592.90","     1482.15","     1592.20","       25358322","          884.15"
"04-Jan-2000","     1594.40","     1641.95","     1594.40","     1638.70","       38787872","         1973.69"
"05-Jan-2000","     1634.55","     1635.50","     1555.05","     1595.80","       62153431","         3084.79"
"06-Jan-2000","     1595.80","     1639.00","     1595.80","     1617.60","       51272875","         2531.18"
"07-Jan-2000","     1616.60","     1628.25","     1597.20","     1613.30","       54315945","         1914.63"
"10-Jan-2000","     1615.65","     1662.10","     1614.95","     1632.95","       45013949","         2375.35"
"11-Jan-2000","     1633.25","     1639.90","     1548.25","     1572.50","       49120254","         2596.95"
"12-Jan-2000","     1572.30","     1631.55","     1571.70","     1624.80","       38364961","         1895.00"
"13-Jan-2000","     1627.85","     1671.15","     1613.65","     1621.40","       44738447","         2237.61"
"14-Jan-2000","     1622.15","     1627.40","     1591.40","     1622.75","       43292009","         1979.98"
"17-Jan-2000","     1623.50","     1668.45","     1604.65","     1611.60","       42683260","         2161.59"
"18-Jan-2000","     1611.65","     1615.15","     1587.85","     1606.70","       37564199","         1787.35"
"19-Jan-2000","     1610.05","     1644.45","     1608.85","     1634.85","       42981295","         2162.92"
"20-Jan-2000","     1634.65","     1644.40","     1596.65","     1601.10","       42625471","         2016.77"
"21-Jan-2000","     1601.25","     1626.50","     1593.20","     1620.60","       39715905","         2012.48"
"24-Jan-2000","     1623.05","     1645.00","     1608.30","     1613.60","       34726595","         1905.45"
"25-Jan-2000","     1612.95","     1613.65","     1579.55","     1586.40","       36881758","         1884.76"
"27-Jan-2000","     1600.50","     1633.55","     1600.05","     1603.90","       38102878","         1956.90"
"28-Jan-2000","     1603.65","     1610.90","     1592.70","     1599.10","       46563431","         2147.53"
"31-Jan-2000","     1598.35","     1598.35","     1538.70","     1546.20","       36153239","         1501.04"
"01-Feb-2000","     1546.20","     1554.15","     1521.40","     1549.50","       37161352","         1692.07"
"02-Feb-2000","     1554.20","     1605.90","     1554.20","     1588.00","       39358471","         1760.18"
"03-Feb-2000","     1591.25","     1616.70","     1591.25","     1597.90","       40826374","         1538.89"
