"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"30-Aug-2004","     1609.45","     1629.90","     1609.20","     1628.45","       62840641","         1757.61"
"31-Aug-2004","     1628.50","     1634.80","     1618.30","     1631.75","       92193309","         2025.51"
"01-Sep-2004","     1631.70","     1640.55","     1631.10","     1635.45","       80868524","         1886.89"
"02-Sep-2004","     1635.50","     1641.25","     1619.90","     1629.30","       73762856","         2109.39"
"03-Sep-2004","     1629.65","     1636.10","     1622.10","     1634.10","       81209846","         2064.50"
"06-Sep-2004","     1634.60","     1649.15","     1634.45","     1644.00","       68876077","         1845.01"
"07-Sep-2004","     1643.95","     1653.15","     1641.80","     1650.15","       73203629","         2043.04"
"08-Sep-2004","     1650.60","     1658.85","     1648.25","     1656.25","       75592478","         2109.73"
"09-Sep-2004","     1656.25","     1662.40","     1640.25","     1649.00","       86876535","         2271.51"
"10-Sep-2004","     1649.45","     1670.95","     1642.35","     1668.75","       78599722","         2245.20"
"13-Sep-2004","     1668.25","     1681.75","     1668.05","     1675.20","       81533998","         2356.72"
"14-Sep-2004","     1675.20","     1686.80","     1668.45","     1685.55","       90528039","         2905.73"
"15-Sep-2004","     1685.70","     1694.45","     1675.85","     1683.20","      104918054","         2971.55"
"16-Sep-2004","     1683.60","     1708.00","     1677.35","     1705.70","      139089131","         2642.31"
"17-Sep-2004","     1702.70","     1736.40","     1702.70","     1733.65","      159703813","         3302.78"
"20-Sep-2004","     1734.05","     1741.55","     1725.30","     1728.80","      132546554","         3119.04"
"21-Sep-2004","     1728.75","     1753.00","     1724.70","     1750.20","      122449459","         3157.29"
"22-Sep-2004","     1749.75","     1760.80","     1736.30","     1753.90","      123805174","         3369.28"
"23-Sep-2004","     1753.10","     1753.15","     1723.40","     1726.15","      142285668","         3312.30"
"24-Sep-2004","     1726.15","     1736.90","     1717.20","     1722.50","      101667012","         2558.88"
"27-Sep-2004","     1722.40","     1726.15","     1707.95","     1717.50","       81158865","         2082.00"
"28-Sep-2004","     1717.45","     1717.90","     1697.40","     1700.25","       98870177","         2337.50"
"29-Sep-2004","     1700.55","     1730.30","     1695.70","     1727.95","      144119600","         3062.45"
