"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"29-Aug-2006","     3405.05","     3434.95","     3396.10","     3425.70","       60674227","         2935.97"
"30-Aug-2006","     3425.80","     3440.20","     3407.75","     3430.35","       61671400","         2963.16"
"31-Aug-2006","     3404.50","     3452.30","     3403.65","     3413.90","       98616609","         4581.17"
"01-Sep-2006","     3414.00","     3439.50","     3402.90","     3435.45","       71355586","         3118.13"
"04-Sep-2006","     3435.55","     3483.10","     3435.55","     3476.85","       55794558","         2672.11"
"05-Sep-2006","     3471.40","     3488.60","     3457.90","     3473.75","       49637615","         2330.87"
"06-Sep-2006","     3474.40","     3490.70","     3465.80","     3477.25","       64632141","         3020.81"
"07-Sep-2006","     3477.15","     3478.85","     3438.80","     3454.55","       61695576","         3097.76"
"08-Sep-2006","     3454.65","     3477.95","     3442.85","     3471.45","       75299798","         3823.16"
"11-Sep-2006","     3470.35","     3486.65","     3351.30","     3366.15","       78022331","         3948.22"
"12-Sep-2006","     3363.30","     3395.05","     3328.45","     3389.90","       80287997","         3899.77"
"13-Sep-2006","     3389.85","     3470.65","     3389.80","     3454.55","       71103462","         3702.22"
"14-Sep-2006","     3454.60","     3484.00","     3454.60","     3471.60","       88081056","         4891.78"
"15-Sep-2006","     3471.65","     3487.45","     3434.55","     3478.60","       71320369","         3491.83"
"18-Sep-2006","     3478.65","     3506.20","     3478.40","     3492.75","       60726317","         2990.54"
"19-Sep-2006","     3493.50","     3514.95","     3438.80","     3457.35","       69738853","         3565.22"
"20-Sep-2006","     3457.85","     3509.85","     3419.75","     3502.80","       62440086","         3133.57"
"21-Sep-2006","     3506.70","     3556.35","     3506.70","     3553.05","       65971047","         3470.59"
"22-Sep-2006","     3554.05","     3562.45","     3525.40","     3544.05","       60146361","         3402.22"
"25-Sep-2006","     3545.10","     3568.65","     3514.85","     3523.45","       59718564","         2973.40"
"26-Sep-2006","     3523.70","     3576.75","     3517.15","     3571.75","       67280328","         3513.92"
