"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"30-Aug-2000","     1369.90","     1384.85","     1369.80","     1375.95","       43639136","         2125.99"
"31-Aug-2000","     1376.50","     1397.30","     1375.90","     1394.10","       41752795","         2911.67"
"04-Sep-2000","     1395.95","     1433.15","     1395.95","     1427.75","       59118945","         3166.70"
"05-Sep-2000","     1428.05","     1434.65","     1420.90","     1428.25","       46660762","         2260.14"
"06-Sep-2000","     1430.90","     1444.45","     1421.00","     1435.35","       55564667","         2500.50"
"07-Sep-2000","     1434.70","     1450.20","     1424.35","     1439.75","       50581945","         2438.64"
"08-Sep-2000","     1440.60","     1453.15","     1440.60","     1450.05","       48947780","         2895.93"
"11-Sep-2000","     1449.35","     1469.00","     1448.95","     1456.35","       48899129","         2813.46"
"12-Sep-2000","     1457.10","     1470.55","     1447.80","     1467.65","       44769146","         2577.54"
"13-Sep-2000","     1467.65","     1482.00","     1452.60","     1456.15","       40899886","         2469.60"
"14-Sep-2000","     1456.75","     1466.65","     1437.85","     1445.30","       48935189","         3029.32"
"15-Sep-2000","     1443.25","     1451.05","     1411.55","     1417.20","       48417567","         2754.79"
"18-Sep-2000","     1416.05","     1416.05","     1352.10","     1354.35","       44613980","         2370.04"
"19-Sep-2000","     1351.80","     1361.70","     1295.30","     1317.00","       61402728","         2743.89"
"20-Sep-2000","     1317.80","     1351.10","     1311.10","     1342.90","       42014443","         1857.75"
"21-Sep-2000","     1341.65","     1347.40","     1325.75","     1329.85","       37264457","         1601.33"
"22-Sep-2000","     1329.10","     1329.10","     1261.20","     1266.45","       53881081","         2465.04"
"25-Sep-2000","     1268.40","     1305.10","     1268.40","     1292.55","       42390608","         1999.04"
"26-Sep-2000","     1292.90","     1298.25","     1261.00","     1267.90","       46208596","         1908.50"
"27-Sep-2000","     1267.45","     1299.00","     1249.35","     1292.55","       49801255","         2127.47"
"28-Sep-2000","     1292.40","     1302.75","     1260.80","     1266.40","       60964211","         2528.87"
"29-Sep-2000","     1267.30","     1284.15","     1264.40","     1271.65","       49222289","         2024.29"
"03-Oct-2000","     1270.75","     1288.15","     1254.35","     1282.00","       53465691","         2010.96"
"04-Oct-2000","     1281.45","     1300.05","     1275.80","     1297.80","       42233464","         1894.67"
"05-Oct-2000","     1296.10","     1306.45","     1282.50","     1284.75","       46464764","         2106.74"
"06-Oct-2000","     1284.35","     1287.85","     1262.65","     1285.00","       51772489","         2554.93"
"09-Oct-2000","     1285.05","     1286.35","     1264.20","     1267.30","       35059618","         1548.95"
"10-Oct-2000","     1268.70","     1272.75","     1230.05","     1238.95","       48897412","         2256.73"
"11-Oct-2000","     1232.85","     1234.10","     1193.80","     1201.90","       50473747","         2499.47"
"12-Oct-2000","     1201.30","     1214.35","     1185.10","     1206.25","       58853946","         2798.13"
