"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"31-Aug-1998","      850.30","      858.60","      841.10","      852.80","       19779089","          543.60"
"01-Sep-1998","      852.75","      852.75","      832.05","      834.55","       26430185","          721.45"
"02-Sep-1998","      834.55","      847.95","      834.55","      842.50","       16881577","          432.27"
"03-Sep-1998","      842.30","      852.05","      838.75","      846.45","       25063915","          608.08"
"04-Sep-1998","      846.90","      868.05","      846.90","      866.50","       37681521","          970.52"
"07-Sep-1998","      866.90","      889.45","      866.90","      887.10","       35257877","          797.71"
"08-Sep-1998","      887.25","      902.05","      882.60","      899.95","       28273867","          773.17"
"09-Sep-1998","      900.20","      916.80","      900.20","      903.60","       34188776","          782.96"
"10-Sep-1998","      903.15","      913.20","      897.35","      907.40","       30954507","          706.39"
"11-Sep-1998","      907.10","      907.10","      893.30","      899.70","       25930535","          633.85"
"14-Sep-1998","      900.20","      921.65","      900.20","      920.50","       31313987","          761.49"
"15-Sep-1998","      920.10","      923.20","      915.60","      920.80","       25550725","          666.25"
"16-Sep-1998","      921.40","      926.55","      912.60","      914.50","       26565576","          685.95"
"17-Sep-1998","      914.45","      919.95","      908.55","      910.10","       24934188","          543.29"
"18-Sep-1998","      910.00","      910.00","      899.95","      901.65","       24649384","          650.12"
"21-Sep-1998","      902.10","      908.05","      895.85","      897.70","       26967846","          731.23"
"22-Sep-1998","      897.85","      900.80","      891.40","      897.25","       27855304","          704.98"
"23-Sep-1998","      897.90","      910.75","      897.90","      907.75","       20937589","          477.18"
"24-Sep-1998","      908.20","      936.50","      908.20","      934.80","       34315648","         1067.20"
"25-Sep-1998","      935.30","      945.25","      933.00","      934.95","       34919223","          937.67"
"28-Sep-1998","      935.60","      941.45","      926.00","      927.90","       26170018","          808.57"
"29-Sep-1998","      928.30","      932.50","      902.40","      908.40","       29569701","          693.40"
"30-Sep-1998","      908.30","      912.25","      896.05","      904.95","       24827328","          617.15"
"05-Oct-1998","      904.75","      904.75","      839.30","      840.75","       22435474","          641.23"
"06-Oct-1998","      839.95","      848.20","      820.10","      845.75","       28945770","          716.41"
"07-Oct-1998","      846.15","      875.75","      846.05","      874.25","       29678588","          825.34"
"08-Oct-1998","      874.65","      885.25","      845.10","      847.95","       38660107","         1126.73"
"09-Oct-1998","      847.95","      861.55","      842.10","      849.10","       35209873","          860.94"
"12-Oct-1998","      849.70","      860.90","      832.10","      835.80","       28132735","          793.11"
"13-Oct-1998","      835.45","      835.75","      810.00","      816.75","       36451812","          847.00"
"14-Oct-1998","      816.55","      846.75","      816.55","      843.55","       31667689","          751.49"
"15-Oct-1998","      843.65","      845.90","      832.10","      835.65","       27178740","          750.33"
"16-Oct-1998","      836.25","      844.70","      829.25","      839.50","       27613979","          698.22"
"19-Oct-1998","      839.70","      840.00","      830.10","      831.25","        9082554","          211.66"
"20-Oct-1998","      831.15","      831.45","      803.30","      808.70","       29712938","          702.51"
"22-Oct-1998","      809.30","      825.20","      805.70","      811.60","       28076555","          695.03"
"23-Oct-1998","      811.85","      820.35","      804.70","      817.35","       35961555","          855.85"
"26-Oct-1998","      817.60","      854.10","      817.60","      845.25","       31773485","          825.84"
"27-Oct-1998","      845.45","      848.25","      835.70","      841.60","       31475340","          725.11"
"28-Oct-1998","      842.80","      857.75","      831.55","      833.85","       34893081","          866.96"
"29-Oct-1998","      833.55","      834.00","      818.95","      832.25","       28355177","          680.78"
"30-Oct-1998","      832.65","      839.20","      826.85","      828.85","       38295453","          909.80"
"31-Oct-1998","      828.25","      828.25","      819.85","      824.00","       12583695","          246.02"
"02-Nov-1998","      824.20","      829.10","      812.30","      823.20","       29886562","          768.11"
"03-Nov-1998","      823.20","      825.30","      818.60","      820.90","       32844383","          737.10"
"05-Nov-1998","      821.35","      830.40","      821.35","      829.15","       29842741","          572.75"
"06-Nov-1998","      829.20","      842.15","      829.20","      840.80","       42427065","          755.17"
"09-Nov-1998","      841.30","      870.50","      841.30","      864.65","       45122481","          854.45"
"10-Nov-1998","      864.80","      871.60","      859.70","      868.70","       33366105","          691.26"
"11-Nov-1998","      869.45","      882.10","      866.60","      868.85","       39875086","          857.70"
"12-Nov-1998","      868.45","      874.20","      857.20","      871.75","       44858905","          840.33"
"13-Nov-1998","      871.70","      877.25","      865.00","      867.25","       47810851","          894.80"
"16-Nov-1998","      866.50","      866.50","      854.30","      855.35","       30888279","          602.88"
"17-Nov-1998","      855.45","      861.65","      854.55","      860.00","       31833062","          589.47"
"18-Nov-1998","      862.90","      876.15","      862.90","      875.05","       30292514","          579.36"
"19-Nov-1998","      875.75","      878.85","      864.30","      865.10","       46817003","          799.89"
"20-Nov-1998","      865.10","      867.70","      855.35","      857.95","       35063527","          668.13"
"21-Nov-1998","      857.85","      857.95","      853.95","      857.40","        6790720","          152.89"
"23-Nov-1998","      856.40","      856.40","      844.85","      847.55","       23056023","          494.90"
"24-Nov-1998","      850.05","      851.55","      840.75","      841.75","       31225595","          666.02"
"26-Nov-1998","      838.85","      843.55","      821.40","      824.45","       31101499","          571.12"
"27-Nov-1998","      823.30","      824.65","      810.30","      812.45","       35280462","          638.96"
"28-Nov-1998","      812.70","      817.40","      804.30","      810.85","       20341270","          393.58"
"30-Nov-1998","      808.60","      817.75","      800.10","      817.75","       27220367","          599.92"
"01-Dec-1998","      816.55","      820.85","      812.25","      816.65","       27858229","          529.43"
"02-Dec-1998","      820.35","      826.05","      817.35","      821.15","       30208457","          542.14"
"03-Dec-1998","      821.30","      822.50","      814.50","      817.05","       19867616","          432.39"
"04-Dec-1998","      816.15","      828.35","      813.10","      828.35","       30710731","          840.85"
"07-Dec-1998","      829.75","      846.00","      828.20","      845.15","       29173053","          665.41"
"08-Dec-1998","      844.95","      853.85","      840.50","      853.00","       28673436","          655.06"
"09-Dec-1998","      855.95","      864.70","      855.10","      856.55","       32199462","          689.41"
"10-Dec-1998","      858.60","      865.80","      858.50","      864.40","       23904988","          555.10"
"11-Dec-1998","      867.15","      874.20","      865.70","      870.00","       31454556","          678.82"
"14-Dec-1998","      871.65","      874.75","      861.95","      863.60","       25676565","          547.94"
"15-Dec-1998","      861.00","      861.10","      844.55","      845.05","       30901593","          647.17"
"16-Dec-1998","      844.65","      851.55","      836.85","      851.55","       29022023","          618.20"
"17-Dec-1998","      835.45","      845.10","      827.90","      830.25","       35301866","          747.43"
"18-Dec-1998","      830.30","      838.80","      827.30","      835.20","       27463808","          670.51"
"21-Dec-1998","      845.60","      859.55","      845.25","      859.30","       26354663","          629.30"
"22-Dec-1998","      864.55","      864.90","      851.35","      857.30","       32824817","          755.81"
"23-Dec-1998","      866.25","      874.65","      858.70","      858.70","       31993234","          771.71"
"24-Dec-1998","      856.30","      863.50","      854.75","      861.10","       32975019","          731.16"
"28-Dec-1998","      869.75","      882.70","      866.25","      879.85","       38534709","          911.52"
"29-Dec-1998","      876.90","      881.25","      867.80","      872.65","       32689290","          812.86"
"30-Dec-1998","      887.40","      903.85","      887.00","      899.95","       45233430","         1236.86"
"31-Dec-1998","      900.55","      902.90","      884.25","      884.25","       34689375","          960.92"
"01-Jan-1999","      886.75","      892.20","      882.60","      890.80","       31356585","          807.26"
"04-Jan-1999","      896.40","      905.45","      895.75","      897.80","       32224833","          811.39"
"05-Jan-1999","      901.00","      907.20","      893.15","      907.20","       36723940","          876.41"
"06-Jan-1999","      923.30","      930.55","      915.65","      928.25","       43232321","         1149.13"
"07-Jan-1999","      932.95","      961.15","      932.95","      954.70","       65480034","         1426.68"
"08-Jan-1999","      969.95","      990.05","      966.40","      990.05","       65940665","         1494.30"
"11-Jan-1999","     1005.15","     1016.30","      985.60","      985.60","       68195393","         1771.62"
"12-Jan-1999","      976.70","      985.55","      953.90","      964.45","       48161247","         1209.22"
"13-Jan-1999","      980.30","      986.25","      958.05","      961.20","       47242946","         1151.30"
"14-Jan-1999","      948.00","      968.40","      944.50","      954.75","       45300099","         1120.47"
"15-Jan-1999","      961.70","      967.85","      932.25","      934.30","       40468309","         1225.34"
"18-Jan-1999","      938.65","      945.05","      922.80","      944.90","       34511324","          893.02"
"19-Jan-1999","      944.15","      948.00","      923.20","      924.10","       39486242","         1040.48"
"21-Jan-1999","      935.15","      967.20","      932.80","      967.20","       49362375","         1331.00"
"22-Jan-1999","      976.60","      980.45","      955.15","      957.05","       40609469","         1076.90"
"25-Jan-1999","      954.35","      956.65","      935.00","      949.80","       40886744","         1091.78"
"27-Jan-1999","      968.55","      985.25","      967.65","      971.30","       41775036","         1224.35"
"28-Jan-1999","      971.20","      976.75","      954.25","      955.10","       27405902","          789.56"
"29-Jan-1999","      956.80","      966.35","      952.70","      966.20","       24052319","          751.62"
"01-Feb-1999","      962.40","      968.05","      940.15","      940.15","       23175431","          731.92"
"02-Feb-1999","      940.10","      945.15","      924.95","      931.20","       30674923","          859.68"
