"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"30-Aug-2001","     1068.30","     1070.25","     1061.90","     1064.15","       38781188","         1007.65"
"31-Aug-2001","     1064.10","     1064.10","     1051.75","     1053.75","       34365231","          991.32"
"03-Sep-2001","     1054.65","     1059.90","     1046.35","     1048.05","       29925067","          910.10"
"04-Sep-2001","     1048.20","     1053.25","     1043.30","     1048.20","       39738793","         1166.58"
"05-Sep-2001","     1047.25","     1051.55","     1043.30","     1045.00","       35505602","         1357.60"
"06-Sep-2001","     1047.70","     1048.20","     1033.40","     1036.10","       47387436","         1468.91"
"07-Sep-2001","     1036.35","     1037.35","     1026.45","     1035.20","       49214540","         1523.80"
"10-Sep-2001","     1035.00","     1045.30","     1031.45","     1033.40","       36055527","         1179.32"
"11-Sep-2001","     1033.35","     1037.45","     1020.70","     1023.40","       36494424","         1169.99"
"12-Sep-2001","     1023.25","     1023.25","      957.95","      982.20","       34980485","         1086.01"
"13-Sep-2001","      982.20","      993.05","      969.00","      971.70","       41790832","         1307.87"
"14-Sep-2001","      972.05","      974.50","      902.70","      919.70","       49968104","         1367.57"
"17-Sep-2001","      916.15","      916.15","      861.05","      872.25","       46030271","         1058.29"
"18-Sep-2001","      872.15","      910.35","      868.50","      900.20","       71872529","         1711.94"
"19-Sep-2001","      899.70","      915.00","      899.70","      912.20","       52494122","         1119.24"
"20-Sep-2001","      910.20","      910.35","      873.70","      898.80","       55774749","         1152.11"
"21-Sep-2001","      903.75","      903.75","      849.95","      854.20","       47900433","          967.98"
"24-Sep-2001","      853.00","      878.60","      853.00","      869.05","       48761034","         1030.18"
"25-Sep-2001","      869.15","      893.35","      858.85","      861.40","       54353301","         1168.24"
"26-Sep-2001","      861.35","      877.00","      859.20","      873.70","       52833284","         1116.82"
"27-Sep-2001","      873.15","      893.05","      868.30","      890.00","       51712403","         1122.77"
"28-Sep-2001","      891.75","      922.55","      891.00","      913.85","       63992439","         1300.42"
"01-Oct-2001","      914.65","      919.20","      905.50","      910.10","       49595909","         1034.73"
"03-Oct-2001","      910.05","      915.05","      896.25","      899.65","       40480562","          840.36"
"04-Oct-2001","      899.65","      914.25","      899.65","      911.65","       47793023","         1076.27"
"05-Oct-2001","      911.60","      919.75","      903.05","      914.60","       38678056","          972.20"
"08-Oct-2001","      911.20","      913.05","      884.65","      901.95","       36382088","          962.61"
"09-Oct-2001","      903.00","      914.30","      902.55","      912.70","       36541512","          842.33"
